序号,分类号,试题,答案,选项,解析
1,1,对于科学家来说，数学公式可以展现大自然的基本原理，或者将复杂的东西简洁地表达出来，这的确____。但对普通大众中的一些人而言，公式也可能是令人生畏、晦涩难懂的；然而对于另一些人而言，正是公式的____使其变得迷人：即使不能理解公式的含义，我们也可以被它打动，因为我们知道，有些公式蕴含着一些超出我们理解能力的含义。填入划横线部分最恰当的一项是？,D,A:叹为观止  严谨\n B:独树一帜  深奥\n C:无与伦比  周密\n D:妙不可言  神秘,“这”是指复杂东西简化的表达方式，“妙不可言”更合适。由冒号后的“即使不能理解公式的含义，我们也可以被它打动，因为我们知道，有些公式蕴含着一些超出我们理解能力的含义”可知推测其应填难以理解的同义词，深奥和神秘均可表达此意。
2,1,相比踏踏实实的实干，智商文章好做易做。但扶贫数据看上去很美，不代表贫困群众真的满意。“材料扶贫”无异于____，非但打不赢决战脱贫攻坚这样的硬战，长此以往反而会损害全民致富奔小康的国家大计。填入划横线部分最恰当的一项是？,C,A:画饼充饥\n B:夸夸其谈\n C:纸上谈兵\n D:言之无物,“无异于”一词提示，需要解释说明前文的“纸上文章好做易做”，“纸上谈兵”最为合适，以表示空谈而无解决实际问题。“画饼充饥“比喻以空想来自我安慰，”夸夸其谈“形容说话或写文章浮夸，不切实际。”言之无物“指文章或言论内容空洞。”纸上谈兵“比喻空谈理论，不能解决实际问题。
3,1,代入感是作品引发受众认同的机制，故事人物的某些方面召唤读者将自己替换为主人公，从而____，与角色同呼吸共命运。代入感是长篇网络小说____的属性，由于网络小说连载时间长，读者容易中途放弃。因此，作品绑定读者，将单纯浏览转变为情感认同便十分重要。填入划横线部分最恰当的一项是？,A,A:感同身受  不可或缺\n B:惺惺相惜  独一无二\n C:身临其境  与身俱来\n D:触景生情  与众不同,本题可直接根据第二空得出答案。根据“因此”一词可知，“将单纯浏览转变为情感认同便十分重要”是对前文的总结说明，提示代入感的必要性。“独一无二”强调独特稀少，“与身俱来”指一生下来就如此，“与众不同”强调与他人不同。三者均为体现必要性。“感同身受”指虽未亲身经历，但感受就同亲身经历过一样。
4,1,近年来，部分青少年出现了劳动意识淡薄的现象，除了一些家长代劳以外，有的学校出于安全考虑，采取以课代劳、以教代劳。通过避免劳动的方式。来简化处理劳动教育和安全管理的问题，无异于____，填入划横线部分最恰当的一项是？,C,A:本末倒置\n B:饮鸩止渴\n C:因噎废食\n D:缘木求鱼,由“无异于”可知，划线部分的解释含义是为了不出现问题而不去做。“饮鸩止渴”比如不顾后果用有害的方法解决面临的问题，“因噎废食”比如收到一点挫折连该做的事情也不做了，符合文意，“缘木求鱼”比如方向、方法不对，不可能有所收获。
5,1,近年来，不少银行向影视业提供了较多的贷款支持，但迫切渴望融资渠道的中小影视公司仍难以得到扶持，银行往往只是“____”。而私募基金投资影视业则是“____”：尽管目前号称以影视产业为主要投资方向的基金已有近20只，声称募集资金达200亿，但披露的有影响的投资项目却寥寥可数。填入划横线部分最恰当的一项是？,D,A:借花献佛  小心翼翼\n B:雪中送炭  纸上谈兵\n C:点到为止  画饼充饥\n D:锦上添花  雷大雨小,先看第二空，冒号后所填词语是对所填词语的解释说明。由“声称募集资金达200亿”和“披露的有影响的投资项目却寥寥可数”对比可知，所填词语应暗含呼声大，实际效果却很小啊。“小心翼翼”形容举动十分谨慎，丝毫不敢疏忽；“纸上谈兵”比如不联系实际情况，空发议论；“画饼充饥”比喻借空想安慰自己。“雷大雨小”契合文意。
6,1,自2006年 《烟草控制框架公约》在中国正式生效，烟草界与控烟界已过招数百回合，双方____的是，均将视线集中于青年群体。烟草依赖的形成是一个长期的过程，烟草界企图“从娃娃抓起”；控烟界也将青年时期作为吸烟行为的萌芽阶段，向青少年大力宣传烟草的危害。填入划横线部分最合适的一项是？,B,A:秘而不宣\n B:不谋而合\n C:一成不变\n D:不言而喻,分析可知，“将视线集中青少年群体”是所填处的解释说明，所填词语应表示双方的一致性。“秘而不宣”指对事情保密；“不谋而合”指没有事先商量而彼此动作想法一致，符合文意；“一成不变”指一经形成，永远不变；“不言而喻”形容道理很明显。
7,1,石油峰值论认为，石油产量会达到最高点，之后不可避免地开始下降。石油峰值几乎是确定的事，但仍然存在两个问题：它究竟何时出现？世界是否能够及时研发出替代能源？____的观察家并不相信石油峰值会在2020年出现，但一些石油公司承认他们此前夸大了地下的石油储量。因此，这更引起人们的____：我们可能已经过了这个峰值。填入划横线部分最恰当的一项是？,A,A:乐观 担忧\n B:激进 争议\n C:冷静  怀疑\n D:理智  恐慌,先看第二空，“引起人们的”与前文比较应该是一种担心的情绪。“担忧”指发愁、忧虑，符合文意；“争议”指争论；“怀疑”指疑惑、猜测；“恐慌”指但又害怕而紧张不安，语气过重。
8,1,商业的巨大魅力是其不确定性和无限可能性。企业的历程和人生一样，曲折漫长，荆棘密布却又可能____，真正决定命运的，往往是几个关键的岔路口。特别是在一家企业____的初创期，没有足够的试错机会，此时作出的向左或者 向右的艰难决策，可能会把一家创业企业导向截然不同的命运轨迹。填入划横线部分最合适的一项是？,C,A:峰回路转  无依无靠\n B:别有洞天  孤助无援\n C:柳暗花明  羽翼未丰\n D:曲径通幽  筚路蓝缕,第一空 ，由“却有可能”知填入的词语应与“荆棘密布”语意相反，构成相反相对关系，表现出现转机之意。“峰回路转”“柳暗花明”均符合文意。“没有足够的试错机会”强调初创企业初创期实力弱、经不住打击的特点。“无依无靠”形容孤苦而无所依靠；“羽翼未丰”比喻尚未成熟强大，符合文意；“筚路蓝缕”形容创业的艰苦。
9,1,要处理好自主研发与开发引进的辩证关系：既不能放弃自研，坐等引进，那会让我们“长不大”；也不能躲进小楼，____，那会让我们“跑不快”。在自力更生的基础上____，才是一切工业发展的真正秘诀。填入划线部分最恰当的一项是,B,A:按图索骥。集思广益\n B:闭门造车  博采众长\n C:苦心孤诣  兼收并蓄\n D:向壁虚构  与时俱进,由“既不能 也不能”可知此处应为并举关系，所填词语应为“躲进小楼”对应，表示不引进别人的先进技术，只一味依靠自我研发的状态。“按图索骥”比如按照线索寻找，也比如办事机械；“苦心孤诣”指费心思钻研或经营，达到别人达不到的境界。第二空应表示开发引进之意，“博采众长”指广泛地采纳各家的长处；“与时俱进”指随着时代的发展而不断发展；“兼收并蓄”指把不同内容不同性质的东西收下来，保存起来，出自韩愈《进学解》。
10,1,英国车，汽车工艺的代表，处处____展现出高贵、优雅、灵动、恒久的艺术气息。而这一些源自英国人一致____的传统造车技艺——始终以手工进行装嵌。填入划横线部分最恰当的一项是？,C,A:彰显  迷恋\n B:展示  擅长\n C:流露  秉承\n D:体现  坚守,
